pid,hiddenproc,hasinjection,malwareflag,num_connections,num_external_ips,num_uncommon_ports,has_flag,AttackType
0,0,1,1,0.0,0.0,0.0,0.0,Malware
1080,0,0,0,0.0,0.0,0.0,0.0,Benign
1088,0,0,0,0.0,0.0,0.0,0.0,Benign
1104,0,0,0,0.0,0.0,0.0,0.0,Benign
1152,0,0,0,0.0,0.0,0.0,0.0,Benign
1160,0,0,0,0.0,0.0,0.0,0.0,Benign
1168,0,0,0,0.0,0.0,0.0,0.0,Benign
1220,0,0,0,0.0,0.0,0.0,0.0,Benign
1280,0,0,0,3.0,2.0,3.0,1.0,MITM
1320,0,0,0,3.0,2.0,3.0,1.0,MITM
1368,0,0,0,0.0,0.0,0.0,0.0,Benign
140,0,0,0,0.0,0.0,0.0,0.0,Benign
1432,0,0,0,0.0,0.0,0.0,0.0,Benign
1444,0,0,0,0.0,0.0,0.0,0.0,Benign
1472,0,0,0,0.0,0.0,0.0,0.0,Benign
1492,0,0,0,0.0,0.0,0.0,0.0,Benign
1548,0,0,0,0.0,0.0,0.0,0.0,Benign
1556,0,0,0,0.0,0.0,0.0,0.0,Benign
1576,0,0,0,0.0,0.0,0.0,0.0,Benign
1688,0,0,0,0.0,0.0,0.0,0.0,Benign
1744,0,0,0,0.0,0.0,0.0,0.0,Benign
1772,0,0,0,0.0,0.0,0.0,0.0,Benign
1784,0,0,0,0.0,0.0,0.0,0.0,Benign
1800,0,0,0,0.0,0.0,0.0,0.0,Benign
1932,0,0,0,0.0,0.0,0.0,0.0,Benign
1976,0,0,0,0.0,0.0,0.0,0.0,Benign
2036,0,1,1,0.0,0.0,0.0,0.0,Malware
2128,0,0,0,0.0,0.0,0.0,0.0,Benign
2220,0,0,0,0.0,0.0,0.0,0.0,Benign
2236,0,0,0,0.0,0.0,0.0,0.0,Benign
2284,0,0,0,0.0,0.0,0.0,0.0,Benign
2300,0,0,0,0.0,0.0,0.0,0.0,Benign
2360,0,0,0,0.0,0.0,0.0,0.0,Benign
2448,0,0,0,10.0,1.0,10.0,1.0,Benign
2456,0,0,0,1.0,1.0,0.0,0.0,Benign
2460,0,0,0,0.0,0.0,0.0,0.0,Benign
2468,0,0,0,2.0,2.0,0.0,0.0,Benign
2480,0,0,0,0.0,0.0,0.0,0.0,Benign
2564,0,0,0,9.0,1.0,9.0,1.0,Benign
2576,0,0,0,0.0,0.0,0.0,0.0,Benign
2592,0,0,0,0.0,0.0,0.0,0.0,Benign
2600,0,0,0,0.0,0.0,0.0,0.0,Benign
2620,0,0,0,0.0,0.0,0.0,0.0,Benign
2684,0,0,0,4.0,2.0,4.0,1.0,MITM
2748,0,0,0,3.0,2.0,3.0,1.0,MITM
2780,0,0,0,0.0,0.0,0.0,0.0,Benign
2872,0,0,0,0.0,0.0,0.0,0.0,Benign
2924,0,0,0,0.0,0.0,0.0,0.0,Benign
2972,0,0,0,2.0,1.0,0.0,0.0,Benign
2996,0,0,0,0.0,0.0,0.0,0.0,Benign
3052,0,0,0,0.0,0.0,0.0,0.0,Benign
3076,1,0,1,0.0,0.0,0.0,0.0,Malware
3088,0,0,0,0.0,0.0,0.0,0.0,Benign
3200,0,0,0,0.0,0.0,0.0,0.0,Benign
3260,0,0,0,0.0,0.0,0.0,0.0,Benign
3268,0,0,0,0.0,0.0,0.0,0.0,Benign
3276,0,0,0,1.0,1.0,1.0,1.0,Benign
3292,0,0,0,2.0,1.0,0.0,0.0,Benign
3300,0,0,0,0.0,0.0,0.0,0.0,Benign
3308,0,0,0,0.0,0.0,0.0,0.0,Benign
3320,0,0,0,0.0,0.0,0.0,0.0,Benign
3328,0,0,0,0.0,0.0,0.0,0.0,Benign
3356,0,0,0,0.0,0.0,0.0,0.0,Benign
3360,0,0,0,0.0,0.0,0.0,0.0,Benign
340,0,0,0,0.0,0.0,0.0,0.0,Benign
3428,0,0,0,0.0,0.0,0.0,0.0,Benign
3440,0,0,0,0.0,0.0,0.0,0.0,Benign
3508,0,0,0,0.0,0.0,0.0,0.0,Benign
3624,0,0,0,0.0,0.0,0.0,0.0,Benign
3636,0,0,0,9.0,1.0,9.0,1.0,Benign
3680,0,0,0,0.0,0.0,0.0,0.0,Benign
3728,0,0,0,0.0,0.0,0.0,0.0,Benign
376,0,0,0,0.0,0.0,0.0,0.0,Benign
3808,0,0,0,0.0,0.0,0.0,0.0,Benign
3828,0,0,0,0.0,0.0,0.0,0.0,Benign
3884,1,0,1,0.0,0.0,0.0,0.0,Malware
3888,0,0,0,0.0,0.0,0.0,0.0,Benign
4,0,0,0,7.0,3.0,7.0,1.0,MITM
4104,0,0,0,8.0,1.0,8.0,1.0,Benign
4168,0,0,0,0.0,0.0,0.0,0.0,Benign
4228,0,0,0,0.0,0.0,0.0,0.0,Benign
4384,1,0,1,0.0,0.0,0.0,0.0,Malware
4424,0,0,0,0.0,0.0,0.0,0.0,Benign
4552,0,0,0,0.0,0.0,0.0,0.0,Benign
4580,1,0,1,0.0,0.0,0.0,0.0,Malware
48,0,1,1,0.0,0.0,0.0,0.0,Malware
4892,0,0,0,0.0,0.0,0.0,0.0,Benign
49,0,1,1,0.0,0.0,0.0,0.0,Malware
496,0,0,0,0.0,0.0,0.0,0.0,Benign
5096,0,0,0,0.0,0.0,0.0,0.0,Benign
5184,0,0,0,0.0,0.0,0.0,0.0,Benign
5216,0,0,0,0.0,0.0,0.0,0.0,Benign
5232,0,0,0,0.0,0.0,0.0,0.0,Benign
5244,0,0,0,0.0,0.0,0.0,0.0,Benign
5292,0,0,0,0.0,0.0,0.0,0.0,Benign
5348,0,0,0,0.0,0.0,0.0,0.0,Benign
5384,1,0,1,0.0,0.0,0.0,0.0,Malware
5392,0,0,0,0.0,0.0,0.0,0.0,Benign
5444,0,0,0,0.0,0.0,0.0,0.0,Benign
55,0,1,1,0.0,0.0,0.0,0.0,Malware
5540,1,0,1,0.0,0.0,0.0,0.0,Malware
5592,0,0,0,0.0,0.0,0.0,0.0,Benign
56,0,1,1,0.0,0.0,0.0,0.0,Malware
5684,0,0,0,0.0,0.0,0.0,0.0,Benign
5704,0,0,0,4.0,4.0,3.0,1.0,MITM
572,0,0,0,3.0,2.0,3.0,1.0,MITM
5788,0,0,0,0.0,0.0,0.0,0.0,Benign
580,0,0,0,0.0,0.0,0.0,0.0,Benign
5832,0,0,0,1.0,1.0,1.0,1.0,Benign
5848,0,0,0,2.0,2.0,2.0,1.0,MITM
5940,0,0,0,0.0,0.0,0.0,0.0,Benign
5956,0,0,0,0.0,0.0,0.0,0.0,Benign
6028,0,0,0,0.0,0.0,0.0,0.0,Benign
6056,0,0,0,0.0,0.0,0.0,0.0,Benign
6108,0,0,0,0.0,0.0,0.0,0.0,Benign
6240,0,0,0,0.0,0.0,0.0,0.0,Benign
6332,0,0,0,0.0,0.0,0.0,0.0,Benign
6412,0,0,0,0.0,0.0,0.0,0.0,Benign
6452,0,0,0,0.0,0.0,0.0,0.0,Benign
6536,0,0,0,0.0,0.0,0.0,0.0,Benign
6620,0,1,1,0.0,0.0,0.0,0.0,Malware
6656,0,0,0,0.0,0.0,0.0,0.0,Benign
6688,0,0,0,0.0,0.0,0.0,0.0,Benign
672,0,0,0,0.0,0.0,0.0,0.0,Benign
6756,0,0,0,0.0,0.0,0.0,0.0,Benign
6772,0,0,0,0.0,0.0,0.0,0.0,Benign
6804,0,0,0,2.0,2.0,0.0,0.0,Benign
684,1,0,1,0.0,0.0,0.0,0.0,Malware
7004,0,0,0,0.0,0.0,0.0,0.0,Benign
7016,0,0,0,0.0,0.0,0.0,0.0,Benign
716,0,0,0,3.0,2.0,3.0,1.0,MITM
7220,0,0,0,0.0,0.0,0.0,0.0,Benign
7276,0,0,0,0.0,0.0,0.0,0.0,Benign
728,0,0,0,3.0,2.0,3.0,1.0,MITM
7408,0,0,0,0.0,0.0,0.0,0.0,Benign
7664,0,0,0,0.0,0.0,0.0,0.0,Benign
7692,0,0,0,0.0,0.0,0.0,0.0,Benign
7848,0,0,0,0.0,0.0,0.0,0.0,Benign
796,0,0,0,0.0,0.0,0.0,0.0,Benign
7960,0,0,0,0.0,0.0,0.0,0.0,Benign
8024,0,0,0,0.0,0.0,0.0,0.0,Benign
8032,0,0,0,3.0,2.0,2.0,1.0,MITM
8044,0,0,0,0.0,0.0,0.0,0.0,Benign
8112,0,1,1,0.0,0.0,0.0,0.0,Malware
8168,0,0,0,0.0,0.0,0.0,0.0,Benign
8324,0,0,0,0.0,0.0,0.0,0.0,Benign
8336,0,0,0,2.0,1.0,0.0,0.0,Benign
840,1,0,1,0.0,0.0,0.0,0.0,Malware
8416,0,0,0,0.0,0.0,0.0,0.0,Benign
8448,0,0,0,0.0,0.0,0.0,0.0,Benign
8468,0,0,0,0.0,0.0,0.0,0.0,Benign
8552,0,0,0,0.0,0.0,0.0,0.0,Benign
8596,0,0,0,0.0,0.0,0.0,0.0,Benign
860,0,0,0,0.0,0.0,0.0,0.0,Benign
8712,0,0,0,0.0,0.0,0.0,0.0,Benign
8772,0,0,0,0.0,0.0,0.0,0.0,Benign
884,0,0,0,0.0,0.0,0.0,0.0,Benign
89,0,1,1,0.0,0.0,0.0,0.0,Malware
892,0,0,0,0.0,0.0,0.0,0.0,Benign
9064,0,0,0,0.0,0.0,0.0,0.0,Benign
9096,0,0,0,0.0,0.0,0.0,0.0,Benign
9188,0,0,0,0.0,0.0,0.0,0.0,Benign
984,0,0,0,3.0,2.0,3.0,1.0,MITM
